Signal     TP      FP      FN      Se      +P      Execution_time
100        2273     0       0    1.000    1.000    4.420
101        1863     3       2    0.999    0.998    3.692
102        2178     9       9    0.996    0.996    5.576
103        2084     0       0    1.000    1.000    7.532
104        2216    26      13    0.994    0.988    4.384
105        2556    27      16    0.994    0.990    5.079
106        2024     3       3    0.999    0.999    5.260
107        2132     6       5    0.998    0.997    3.545
108        1747    20      16    0.991    0.989    4.084
109        2530     1       2    0.999    1.000    3.868
111        2123     1       1    1.000    1.000    3.725
112        2539     0       0    1.000    1.000    3.791
113        1795     0       0    1.000    1.000    3.955
114        1879     0       0    1.000    1.000    4.555
115        1953     0       0    1.000    1.000    3.612
116        2392     2      20    0.992    0.999    5.163
117        1535     0       0    1.000    1.000    3.828
118        2278     0       0    1.000    1.000    5.137
119        1952    36      35    0.982    0.982    4.121
121        1863     0       0    1.000    1.000    3.884
122        2476     0       0    1.000    1.000    2.983
123        1518     0       0    1.000    1.000    2.793
124        1614     5       5    0.997    0.997    3.162
200        2596     9       5    0.998    0.997    4.819
201        1956     1       7    0.996    0.999    4.571
202        2133     0       3    0.999    1.000    3.899
203        2919    16      61    0.980    0.995    3.633
205        2642     1      14    0.995    1.000    4.028
207        1842   206      18    0.990    0.899    4.466
208        2923    15      32    0.989    0.995    3.915
209        3005     0       0    1.000    1.000    4.263
210        2626     2      24    0.991    0.999    4.210
212        2748     0       0    1.000    1.000    3.601
213        3211    39      40    0.988    0.988    3.136
214        2259     1       3    0.999    1.000    2.829
215        3360     0       3    0.999    1.000    3.308
217        2199     9       9    0.996    0.996    4.485
219        2154     0       0    1.000    1.000    3.693
220        2048     0       0    1.000    1.000    5.172
221        2426     0       1    1.000    1.000    3.983
222        2477     9       6    0.998    0.996    5.007
223        2604     0       1    1.000    1.000    4.017
228        2050    27       3    0.999    0.987    3.565
230        2256     1       0    1.000    1.000    4.571
231        1571     0       0    1.000    1.000    3.429
232        1780     7       0    1.000    0.996    4.498
233        3072     1       7    0.998    1.000    3.290
234        2752     0       1    1.000    1.000    3.273
Total:     109129   483     365    0.997    0.996    4.121
